Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 00124,Helsinki cathedral,Finland,white / gray,wrinkly,No,No,,,,,,,NBC 00124,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00125,Helsinki cathedral,Finland,"red ring, white interior",flat,reduced ZOI,reduced ZOI,,,,,,,NBC 00125,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00126,Helsinki cathedral,Finland,red,wrinkly,No,No,10/31/2016,,,,,,NBC 00126,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00127,Helsinki cathedral,Finland,white,wrinkly,reduced ZOI,No,10/31/2016,,,,,,NBC 00127,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00128,Helsinki cathedral,Finland,white / gray,bumpy,reduced ZOI,reduced ZOI,10/31/2016,,,,,,NBC 00128,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00129,Christiania big pot,Denmark,,,No,No,10/31/2016,,,,,Likely slow grower,NBC 00129,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00130,Christiania big pot,Denmark,"black base, white aerial mycelia",bumpy,No,reduced ZOI,10/31/2016,Yes,,,,,NBC 00130,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00131,Christiania big pot,Denmark,gray,flat,reduced ZOI,reduced ZOI,10/31/2016,Yes,Yes,,,,NBC 00131,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00132,DTU rich hill,Denmark,,,,,10/31/2016,,,,,,NBC 00132,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00133,DTU rich hill,Denmark,beige,bumpy,reduced ZOI,No,10/31/2016,,Yes,,,"Likely a dupicate, but I don't know of what",NBC 00133,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00134,DTU rich hill,Denmark,orange,bumpy,No,No,10/31/2016,,,,,,NBC 00134,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00135,DTU rich hill,Denmark,"yellow ring, white interior",wrinkly,No,unsure,10/31/2016,,,,,,NBC 00135,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00136,DTU rich hill,Denmark,brown w/ white ring,mountain-like,No,No,10/31/2016,,,,,,NBC 00136,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00137,Christiania little pot,Denmark,brown,wrinkly,unsure,unsure,10/31/2016,Yes,,,,,NBC 00137,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00138,Christiania little pot,Denmark,tan,flat/smooth,7 mm,reduced ZOI,10/31/2016,,Yes,,Yes,"Agar around colony tested against A.b. had turned light blue.  Against the E.c. colony, the agar was only red.",NBC 00138,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00139b,Fresh air,Denmark,gray / white,wrinkly,No,No,12/5/2016,Yes,,,,"There are two strains recorded that have the 139b designation.  See the ""duplicates"" sheet.  This one listed here might actually be 140.",NBC 00139b,Bench next to CFB building in Hørsholm,Hørsholm / CFB,,2016-08-26,Pep Charusanti,,
NBC 00140b,Fresh air,Denmark,gray / black,small bumps,No,No,1/13/2017,,,,,,NBC 00140b,Bench next to CFB building in Hørsholm,Hørsholm / CFB,,2016-08-26,Pep Charusanti,,
NBC 00141,Fresh air,Denmark,tan,wrinkly,reduced ZOI,No,10/31/2016,Yes,Yes,,,,NBC 00141,Bench next to CFB building in Hørsholm,Hørsholm / CFB,,2016-08-26,Pep Charusanti,,
NBC 00142,Gopher hole,Finland,tan & dark green,bumpy,No,unsure,10/31/2016,,,,,,NBC 00142,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00143b,Gopher hole,Finland,tan / white,wrinkly,2 mm,1 mm,1/13/2017,,,,,,NBC 00143b,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00144,Edin botanical garden,Scotland,tan,flat/smooth,No,reduced ZOI,10/31/2016,,,,,,NBC 00144,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00145,Edin botanical garden,Scotland,orange/red,flat,No,No,10/31/2016,,,,,Duplicate.  Mr. everywhere,NBC 00145,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00146,Edin botanical garden,Scotland,brown,,No,No,10/31/2016,,,,,Likely slow grower,NBC 00146,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00147,Edin botanical garden,Scotland,orange/red,flat,No,No,10/31/2016,,,,,Duplicate.  Mr. everywhere,NBC 00147,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00148,Bretzfeld,Germany,"green ring, white interior",bumpy,reduced ZOI,No,10/31/2016,,Yes,,,,NBC 00148,collection site was very moist,Bretzfeld,"49,173135 N, 9,431921 E",2016-08-26,Kai Blin,,"sample resulted in lots of the same fungi, not so many actinos"
NBC 00149,Gopher hole,Finland,tan,smooth,No,unsure,11/4/2016,,,,,,NBC 00149,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00150,Gopher hole,Finland,brown & white,wrinkly,reduced ZOI,No,11/4/2016,,,,,,NBC 00150,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00151,Gopher hole,Finland,tan,bumpy,Yes,Yes,11/4/2016,,,,,,NBC 00151,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00152,Gopher hole,Finland,tan,wrinkly,No,No,11/4/2016,,,,,,NBC 00152,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00153,Gopher hole,Finland,tan,flat,unsure,unsure,11/4/2016,,,,,,NBC 00153,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00154,Gopher hole,Finland,tan,flat,unsure,No ,11/4/2016,,,,,,NBC 00154,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00155,Gopher hole,Finland,beige,smooth,reduced ZOI,No,11/4/2016,,,,,,NBC 00155,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00156,Joao garden,Portugal,white / yellow,wrinkly,15 mm,15 mm,11/4/2016,,Yes,,Yes,,NBC 00156,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00157,Joao garden,Portugal,white / yellow,smooth,Yes,Yes,11/4/2016,Yes,,,,,NBC 00157,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00158,Joao garden,Portugal,white with pink center,smooth,3 mm,4 mm,11/4/2016,Yes,Yes,,,,NBC 00158,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00159,Joao garden,Portugal,white,bumpy,No,No,11/4/2016,,,,,,NBC 00159,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00160,Joao garden,Portugal,"orange/brown base, white/gray aerial mycelia","smooth, some bumps",reduced ZOI,reduced ZOI,11/4/2016,Yes,Yes,,,,NBC 00160,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00161,Deer feeding,Denmark,"beige outer, white interior",bumpy,unsure,unsure,11/4/2016,,,,,,NBC 00161,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00162,Deer feeding,Denmark,beige,bumpy,Yes,No,11/4/2016,,Yes,,Yes,,NBC 00162,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00163,Deer feeding,Denmark,tan,flat / shiny - rhodococcus-like,Not tested,Not tested,12/19/2016,,,,,,NBC 00163,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00164,Deer feeding,Denmark,white / tan,"smooth, some bumps",reduced ZOI,No,11/4/2016,Yes,Yes,,,,NBC 00164,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00165,Deer feeding,Denmark,white,wrinkly,No,reduced ZOI,11/4/2016,Yes,Yes,,,,NBC 00165,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00166,Deer feeding,Denmark,"black base, white aerial mycelia",bumpy,unsure,unsure,11/4/2016,,,,,,NBC 00166,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00167,Deer feeding,Denmark,black/white,bumpy,No,No,11/4/2016,,,,,,NBC 00167,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00168,Deer feeding,Denmark,"red base, white aerial mycelia",flat/smooth,Yes,reduced ZOI,11/4/2016,,Yes,,,,NBC 00168,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00169,Christiania little pot,Denmark,"brown base, white aerial mycelia",wrinkly,15 mm,15 mm,11/4/2016,,Yes,,,,NBC 00169,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00170,Christiania little pot,Denmark,white,small bumps with wrinkles,unsure,No ,11/4/2016,Yes,,,,,NBC 00170,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00171,Christiania big pot,Denmark,"red base, white aerial mycelia",flat,No ,No ,11/4/2016,,,,,,NBC 00171,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00172,Christiania big pot,Denmark,"brown base, white aerial mycelia",bumpy,15 mm,15 mm,11/4/2016,,Yes,,Yes,,NBC 00172,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00173,Christiania big pot,Denmark,white / red,bumpy,unsure,unsure,11/4/2016,,,,,,NBC 00173,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00174,Birkd farm,Denmark,white / dark green,bumpy,No ,reduced ZOI,11/4/2016,Yes,,,,,NBC 00174,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00177,Birkd farm,Denmark,tan,wrinkly,unsure,No ,11/4/2016,,,,,,NBC 00177,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00178,Birkd farm,Denmark,white / gray,wrinkly,No ,No ,11/4/2016,,,,,,NBC 00178,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00179,Birkd farm,Denmark,white,bumpy,1 mm,No ,11/4/2016,,Yes,,,,NBC 00179,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00180,Birkd farm,Denmark,white,bumpy,6 mm,12 mm,11/4/2016,,Yes,,,,NBC 00180,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00181,Birkd farm,Denmark,white,bumpy,No ,No ,11/4/2016,,,,,,NBC 00181,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00182,Birkd farm,Denmark,,,,,11/4/2016,,,,,,NBC 00182,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00183,Birkd farm,Denmark,brown,wrinkly,unsure,unsure,11/4/2016,,Yes,,,,NBC 00183,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00184,Lyngby lake,Denmark,tan,wrinkly,No ,unsure,11/4/2016,,,,,,NBC 00184,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00185,Bretzfeld,Germany,white / gray,bumpy,2 mm,2 mm,11/4/2016,Yes,Yes,,,Mr. Unsocial.  The halo was much bigger on the original (ISP4) isolation plate.  Is the switch to ISP2 affecting the size of the halo?,NBC 00185,collection site was very moist,Bretzfeld,"49,173135 N, 9,431921 E",2016-08-26,Kai Blin,,"sample resulted in lots of the same fungi, not so many actinos"
NBC 00186,DTU rich hill,Denmark,brown & white,bumpy,No ,No ,11/4/2016,,,,,,NBC 00186,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00187,DTU rich hill,Denmark,brown,bumpy,No ,No ,11/4/2016,,,,,,NBC 00187,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00188,DTU rich hill,Denmark,red / brown,bumpy,Yes,Yes,11/4/2016,,,,,,NBC 00188,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00189,DTU rich hill,Denmark,pink with tiny white dots,smooth mound,reduced ZOI,unsure,11/4/2016,Yes,Yes,,,"Visually, a very pretty colony.  Also a slow grower: colonies tested after ~7 days growth.",NBC 00189,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00190,DTU rich hill,Denmark,red & white,flat w/ outer ridge,reduced ZOI,No,11/4/2016,Yes,Yes,,,,NBC 00190,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00191,DTU rich hill,Denmark,white,bumpy,No,No,11/4/2016,,,,,,NBC 00191,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00192,DTU rich hill,Denmark,brown,wrinkly,No,unsure,11/4/2016,,,,,,NBC 00192,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00193,DTU rich hill,Denmark,red / brown,flat & wrinkly,No,No,11/4/2016,,,,,,NBC 00193,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00194,DTU rich hill,Denmark,yellow,flat & wrinkly,No,No,11/4/2016,,,,,,NBC 00194,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00195,Edin botanical garden,Denmark,orange,bumpy,3 mm,No,11/10/2016,,,,,,NBC 00195,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00196,Edin botanical garden,Denmark,orange,hard to describe,unsure,No,11/10/2016,,Yes,,,,NBC 00196,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00197,Edin botanical garden,Denmark,white / gray,wrinkly,No,No,11/10/2016,,,,,,NBC 00197,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00198,Edin botanical garden,Denmark,white,bumpy,No,No,11/10/2016,,,,,,NBC 00198,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00199,Birkd farm,Denmark,white,wrinkly,No,No,11/10/2016,,,,,,NBC 00199,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00200,Birkd farm,Denmark,tan/green,wrinkly,reduced ZOI,No,11/10/2016,Yes,Yes,,,,NBC 00200,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00201,Birkd farm,Denmark,tan,wrinkly,No,No,11/10/2016,,,,,,NBC 00201,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00202,Birkd farm,Denmark,N/A.  Too small,N/A.  Too small,No,Not tested,11/10/2016,,,,,,NBC 00202,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00203,Birkd farm,Denmark,tan / orange,bumpy,No,unsure,11/10/2016,,,,,,NBC 00203,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00204,DTU rich hill,Denmark,tan,wrinkly,No,No,11/10/2016,,,,,looks like a slow grower,NBC 00204,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00205,DTU rich hill,Denmark,tan/white,wrinkly,No,No,11/10/2016,,,,,,NBC 00205,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00206,DTU rich hill,Denmark,white / gray / green,mountain-like,No,No,11/10/2016,,,,,,NBC 00206,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00207,DTU rich hill,Denmark,brown ring / white inner,smooth,reduced ZOI,No,11/10/2016,Yes,Yes,,,,NBC 00207,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00208,DTU rich hill,Denmark,tan/white,small bumps,No,No,11/10/2016,,,,,,NBC 00208,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00209,Deer feeding,Denmark,brown / white / gray,small bumps,No,No,11/10/2016,,,,,,NBC 00209,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00210,Deer feeding,Denmark,brown & white,,unsure,No,11/10/2016,,Yes,,,,NBC 00210,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00211,Deer feeding,Denmark,tan / light pink,smooth,No,No,11/10/2016,,,,,,NBC 00211,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00212,Colton Hill,Scotland,tan,big wrinkles,reduced ZOI,4 mm,11/10/2016,,,,,,NBC 00212,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00213,Colton Hill,Scotland,white,bumpy,3 mm,3 mm,11/10/2016,,,,,Possible duplicates,NBC 00213,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00214,Colton Hill,Scotland,white,bumpy,3 mm,3 mm,11/10/2016,,,,,,NBC 00214,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00215,Joao garden,Portugal,white / tan,small bumps,6 mm,5 mm,11/10/2016,,Yes,,,,NBC 00215,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00216,Joao garden,Portugal,yellow,bumpy & wrinkles,Yes,Yes,11/10/2016,,Yes,,,"DCM extract is yellow, but color fades after only ~15 min.  Molecules are clearly light-sensitive",NBC 00216,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00217,Joao garden,Portugal,white / gray,"smooth inner, outer wrinkles",Yes,2 mm,11/10/2016,,Yes,,,,NBC 00217,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00218,Christiania big pot,Denmark,white / fluffy,"smooth, some wrinkles",No,No,11/10/2016,,,,,,NBC 00218,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00219,Buhl 2016,Germany,white,mountain-like,No,No,11/14/2016,,,,,,NBC 00219,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00220,Buhl 2016,Germany,"red base, gray aerial mycelia",smooth,reduced ZOI,No,11/14/2016,,Yes,,,,NBC 00220,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00221,Buhl 2016,Germany,brown / gray,bumpy,No,No,11/14/2016,,,,,,NBC 00221,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00222,Gopher hole,Finland,"dark brown outer, white center","smooth, some wrinkles",5 mm,5 mm,11/14/2016,,,,,,NBC 00222,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00223,Gopher hole,Finland,"red base, white aerial mycelia",flat w/ fine bumps,13 mm,No,11/14/2016,,,,,,NBC 00223,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
